"","species","year","Apple","Field.Bean","Oilseed.Rape","growth.rate.dif"
"102","Andrena_dorsata",1993,1,0,1,-0.0199734295526882
"103","Andrena_dorsata",1994,1,0,1,0.164622001140561
"104","Andrena_dorsata",1995,1,0,1,1.08864817803232
"105","Andrena_dorsata",1996,1,0,1,1.22378629895383
"106","Andrena_dorsata",1997,1,0,1,-2.07964704785464
"107","Andrena_dorsata",1998,1,0,1,0.255276683962787
"108","Andrena_dorsata",1999,1,0,1,0.820091648706079
"109","Andrena_dorsata",2000,1,0,1,1.30793045575832
"110","Andrena_dorsata",2001,1,0,1,-0.715326925377246
"111","Andrena_dorsata",2002,1,0,1,-0.585191255340504
"112","Andrena_dorsata",2003,1,0,1,0.0157788323691558
"113","Andrena_dorsata",2004,1,0,1,1.64367610835574
"114","Andrena_dorsata",2005,1,0,1,-0.315504471092179
"115","Andrena_dorsata",2006,1,0,1,-0.519914610617013
"116","Andrena_dorsata",2007,1,0,1,-1.02753960777364
"117","Andrena_dorsata",2008,1,0,1,-0.501211587780149
"118","Andrena_dorsata",2009,1,0,1,-0.870973821714817
"119","Andrena_dorsata",2010,1,0,1,0.041694945965541
"120","Andrena_dorsata",2011,1,0,1,0.362428981708736
"121","Andrena_dorsata",2012,1,0,1,-0.813079263135338
"122","Andrena_dorsata",2013,1,0,1,-2.43966679464956
"123","Andrena_dorsata",2014,1,0,1,-0.0222509357114656
"124","Andrena_dorsata",2015,1,0,1,0.50796709310825
"125","Andrena_flavipes",1985,1,0,1,-0.10154203008215
"126","Andrena_flavipes",1986,1,0,1,-0.273062873645397
"127","Andrena_flavipes",1987,1,0,1,-1.47924249681143
"128","Andrena_flavipes",1988,1,0,1,-0.797545220783341
"129","Andrena_flavipes",1989,1,0,1,0.281306436170329
"130","Andrena_flavipes",1990,1,0,1,1.07086517004996
"131","Andrena_flavipes",1991,1,0,1,1.25945981721432
"132","Andrena_flavipes",1992,1,0,1,-0.409087197688289
"133","Andrena_flavipes",1993,1,0,1,-0.419579113904963
"134","Andrena_flavipes",1994,1,0,1,0.658091012668641
"135","Andrena_flavipes",1995,1,0,1,1.01899640932537
"136","Andrena_flavipes",1996,1,0,1,1.86207826713661
"137","Andrena_flavipes",1997,1,0,1,-0.978991949355502
"138","Andrena_flavipes",1998,1,0,1,0.558027949558783
"139","Andrena_flavipes",1999,1,0,1,-0.196651455813968
"140","Andrena_flavipes",2000,1,0,1,0.686144939000521
"141","Andrena_flavipes",2001,1,0,1,1.23613241697342
"142","Andrena_flavipes",2002,1,0,1,-1.06750764481471
"143","Andrena_flavipes",2003,1,0,1,0.514257444033107
"144","Andrena_flavipes",2004,1,0,1,0.106258508345047
"145","Andrena_flavipes",2005,1,0,1,0.436044914163012
"146","Andrena_flavipes",2006,1,0,1,0.296587623717771
