"","species_removed","mean_total_deficit","sd_total_deficit","n","s.e.","bean"
"1",0,-11.7945704511266,0,100,0,"bean"
"2",1,-11.809188388126,0.12242113332364,100,0.012242113332364,"bean"
"3",2,-11.7874939677542,0.180612349096319,100,0.0180612349096319,"bean"
"4",3,-11.8376509060508,0.256747213503439,100,0.0256747213503439,"bean"
"5",4,-12.1209049082216,0.480555872997668,100,0.0480555872997668,"bean"
"6",5,-11.1075316256856,2.1478422016587,100,0.21478422016587,"bean"
