"","plant","n_pollinators","mean_summed_occupancy","sd_summed_occupancy","CV_summed_occupancy","0.1","0.25","0.5","0.75","0.9"
"1","Apple","19","0.842953120854622","0.107324351707565","12.7319478453031",0,0,0,0.574542108716625,2.22307229651472
"2","Field Bean","6","0.61625948693487","0.272023424941436","44.141052707264",0,0.276196041124038,2.30660458189849,5.59237205172089,9.01473295750909
"3","Oilseed Rape","30","0.870872195175657","0.0777163217286518","8.92396406260005",0,0,0,0.0573519829796617,1.4868406021959
