species,year,occupancy ,Apple,Field Bean,Oilseed Rape
Andrena flavipes,1990,0.28151021,1,0,1
Andrena flavipes,1991,0.318514916,1,0,1
Andrena flavipes,1992,0.310152974,1,0,1
Andrena flavipes,1993,0.301505764,1,0,1
Andrena flavipes,1994,0.322159665,1,0,1
Andrena flavipes,1995,0.352626336,1,0,1
Andrena flavipes,1996,0.406015824,1,0,1
Andrena flavipes,1997,0.382158563,1,0,1
Andrena flavipes,1998,0.400091818,1,0,1
Andrena flavipes,1999,0.397505858,1,0,1
Andrena flavipes,2000,0.418922526,1,0,1
Andrena flavipes,2001,0.455292976,1,0,1
Andrena flavipes,2002,0.429029034,1,0,1
Andrena flavipes,2003,0.445772199,1,0,1
Andrena flavipes,2004,0.451422153,1,0,1
Andrena flavipes,2005,0.466038773,1,0,1
Andrena flavipes,2006,0.476863645,1,0,1
Andrena flavipes,2007,0.469296999,1,0,1
Andrena flavipes,2008,0.420605379,1,0,1
Andrena flavipes,2009,0.378563903,1,0,1
Andrena flavipes,2010,0.382347835,1,0,1
Andrena flavipes,2011,0.367315449,1,0,1
Andrena flavipes,2012,0.341618477,1,0,1
Andrena flavipes,2013,0.319495425,1,0,1
Andrena flavipes,2014,0.321149235,1,0,1
Andrena flavipes,2015,0.38585659,1,0,1
Andrena fulva,1985,0.385696635,1,0,1
Andrena fulva,1986,0.421560661,1,0,1
Andrena fulva,1987,0.448762583,1,0,1
Andrena fulva,1988,0.463650488,1,0,1
Andrena fulva,1989,0.447488715,1,0,1
Andrena fulva,1990,0.427799592,1,0,1
Andrena fulva,1991,0.393142314,1,0,1
Andrena fulva,1992,0.382254909,1,0,1
Andrena fulva,1993,0.391348527,1,0,1
Andrena fulva,1994,0.433917282,1,0,1
Andrena fulva,1995,0.435957302,1,0,1
Andrena fulva,1996,0.377797975,1,0,1
Andrena fulva,1997,0.367789162,1,0,1
Andrena fulva,1998,0.335243394,1,0,1
Andrena fulva,1999,0.323353117,1,0,1
Andrena fulva,2000,0.331436338,1,0,1
Andrena fulva,2001,0.353251509,1,0,1
Andrena fulva,2002,0.342410675,1,0,1
Andrena fulva,2003,0.351928902,1,0,1
Andrena fulva,2004,0.349395507,1,0,1
Andrena fulva,2005,0.326195377,1,0,1
Andrena fulva,2006,0.315805868,1,0,1
Andrena fulva,2007,0.299401713,1,0,1
Andrena fulva,2008,0.310235866,1,0,1
Andrena fulva,2009,0.317371918,1,0,1
Andrena fulva,2010,0.329987936,1,0,1
Andrena fulva,2011,0.340830128,1,0,1
Andrena fulva,2012,0.341812343,1,0,1
Andrena fulva,2013,0.382142137,1,0,1
Andrena fulva,2014,0.42344547,1,0,1
Andrena fulva,2015,0.453036935,1,0,1
Andrena haemorrhoa,1985,0.732010835,1,0,1
Andrena haemorrhoa,1986,0.737543879,1,0,1
Andrena haemorrhoa,1987,0.749921985,1,0,1
Andrena haemorrhoa,1988,0.761523482,1,0,1
Andrena haemorrhoa,1989,0.76302382,1,0,1
Andrena haemorrhoa,1990,0.765497108,1,0,1
Andrena haemorrhoa,1991,0.760330387,1,0,1
Andrena haemorrhoa,1992,0.751302447,1,0,1
Andrena haemorrhoa,1993,0.741435814,1,0,1
Andrena haemorrhoa,1994,0.731381134,1,0,1
Andrena haemorrhoa,1995,0.728596878,1,0,1
Andrena haemorrhoa,1996,0.732660606,1,0,1
Andrena haemorrhoa,1997,0.727935061,1,0,1
Andrena haemorrhoa,1998,0.711912478,1,0,1
Andrena haemorrhoa,1999,0.704463529,1,0,1
Andrena haemorrhoa,2000,0.694916134,1,0,1
Andrena haemorrhoa,2001,0.681962216,1,0,1
Andrena haemorrhoa,2002,0.690429453,1,0,1
Andrena haemorrhoa,2003,0.699051842,1,0,1
Andrena haemorrhoa,2004,0.696525899,1,0,1
Andrena haemorrhoa,2005,0.687142035,1,0,1
Andrena haemorrhoa,2006,0.688410877,1,0,1
Andrena haemorrhoa,2007,0.670850055,1,0,1
Andrena haemorrhoa,2008,0.677343473,1,0,1
Andrena haemorrhoa,2009,0.658169807,1,0,1
Andrena haemorrhoa,2010,0.636154518,1,0,1
Andrena haemorrhoa,2011,0.655782731,1,0,1
Andrena haemorrhoa,2012,0.637139399,1,0,1
Andrena haemorrhoa,2013,0.635627553,1,0,1
Andrena haemorrhoa,2014,0.654422991,1,0,1
Andrena haemorrhoa,2015,0.708528218,1,0,1
Andrena minutula,1985,0.498004606,1,0,1
Andrena minutula,1986,0.49509025,1,0,1
Andrena minutula,1987,0.48376821,1,0,1
Andrena minutula,1988,0.483234622,1,0,1
Andrena minutula,1989,0.487606205,1,0,1
Andrena minutula,1990,0.50721261,1,0,1
Andrena minutula,1991,0.516195767,1,0,1
Andrena minutula,1992,0.524171905,1,0,1
Andrena minutula,1993,0.523220414,1,0,1
Andrena minutula,1994,0.51664518,1,0,1
Andrena minutula,1995,0.505327156,1,0,1
Andrena minutula,1996,0.502121255,1,0,1
Andrena minutula,1997,0.508703526,1,0,1
Andrena minutula,1998,0.501871694,1,0,1
Andrena minutula,1999,0.51762968,1,0,1
Andrena minutula,2000,0.526682019,1,0,1
Andrena minutula,2001,0.492678087,1,0,1
Andrena minutula,2002,0.468138477,1,0,1
Andrena minutula,2003,0.458245466,1,0,1
Andrena minutula,2004,0.466984286,1,0,1
Andrena minutula,2005,0.460213886,1,0,1
Andrena minutula,2006,0.454706252,1,0,1
Andrena minutula,2007,0.449098157,1,0,1
Andrena minutula,2008,0.430427106,1,0,1
Andrena minutula,2009,0.41860043,1,0,1
Andrena minutula,2010,0.414533448,1,0,1
Andrena minutula,2011,0.422837551,1,0,1
Andrena minutula,2012,0.387485181,1,0,1
Andrena minutula,2013,0.401522975,1,0,1
Andrena minutula,2014,0.401527404,1,0,1
Andrena minutula,2015,0.407260532,1,0,1
Andrena nigroaenea,1985,0.516854852,1,0,1
Andrena nigroaenea,1986,0.572776642,1,0,1
Andrena nigroaenea,1987,0.582188605,1,0,1
Andrena nigroaenea,1988,0.586081169,1,0,1
Andrena nigroaenea,1989,0.624873609,1,0,1
Andrena nigroaenea,1990,0.617545653,1,0,1
Andrena nigroaenea,1991,0.625081567,1,0,1
Andrena nigroaenea,1992,0.616859445,1,0,1
Andrena nigroaenea,1993,0.61468464,1,0,1
Andrena nigroaenea,1994,0.607427587,1,0,1
Andrena nigroaenea,1995,0.592005208,1,0,1
Andrena nigroaenea,1996,0.560393097,1,0,1
Andrena nigroaenea,1997,0.517085611,1,0,1
Andrena nigroaenea,1998,0.482100226,1,0,1
Andrena nigroaenea,1999,0.526859865,1,0,1
Andrena nigroaenea,2000,0.565511484,1,0,1
Andrena nigroaenea,2001,0.501314659,1,0,1
Andrena nigroaenea,2002,0.440638222,1,0,1
Andrena nigroaenea,2003,0.365221424,1,0,1
Andrena nigroaenea,2004,0.367302906,1,0,1
Andrena nigroaenea,2005,0.463207441,1,0,1
Andrena nigroaenea,2006,0.494738507,1,0,1
Andrena nigroaenea,2007,0.484188869,1,0,1
Andrena nigroaenea,2008,0.482002465,1,0,1
Andrena nigroaenea,2009,0.409530788,1,0,1
Andrena nigroaenea,2010,0.4704382,1,0,1
Andrena nigroaenea,2011,0.463063581,1,0,1
Andrena nigroaenea,2012,0.425333259,1,0,1
Andrena nigroaenea,2013,0.405674422,1,0,1
Andrena nigroaenea,2014,0.370190213,1,0,1
Andrena nigroaenea,2015,0.426660726,1,0,1
Andrena nitida,1985,0.321031057,1,0,1
Andrena nitida,1986,0.316627797,1,0,1
Andrena nitida,1987,0.33308826,1,0,1
Andrena nitida,1988,0.347300017,1,0,1
Andrena nitida,1989,0.351602154,1,0,1
Andrena nitida,1990,0.355283109,1,0,1
Andrena nitida,1991,0.375893321,1,0,1
Andrena nitida,1992,0.398425466,1,0,1
Andrena nitida,1993,0.41081758,1,0,1
Andrena nitida,1994,0.412184812,1,0,1
Andrena nitida,1995,0.39965008,1,0,1
Andrena nitida,1996,0.410420781,1,0,1
Andrena nitida,1997,0.419955674,1,0,1
Andrena nitida,1998,0.404155663,1,0,1
Andrena nitida,1999,0.456204776,1,0,1
Andrena nitida,2000,0.45974279,1,0,1
Andrena nitida,2001,0.436185138,1,0,1
Andrena nitida,2002,0.412084758,1,0,1
Andrena nitida,2003,0.396567324,1,0,1
Andrena nitida,2004,0.44083819,1,0,1
Andrena nitida,2005,0.496425458,1,0,1
Andrena nitida,2006,0.502949228,1,0,1
Andrena nitida,2007,0.439049794,1,0,1
Andrena nitida,2008,0.446255962,1,0,1
Andrena nitida,2009,0.38326096,1,0,1
Andrena nitida,2010,0.390195437,1,0,1
Andrena nitida,2011,0.430438672,1,0,1
Andrena nitida,2012,0.447232233,1,0,1
Andrena nitida,2013,0.37837762,1,0,1
Andrena nitida,2014,0.335218299,1,0,1
Andrena nitida,2015,0.379206843,1,0,1
Andrena scotica,1985,0.685751621,1,0,1
Andrena scotica,1986,0.663813958,1,0,1
Andrena scotica,1987,0.667215298,1,0,1
Andrena scotica,1988,0.677614576,1,0,1
Andrena scotica,1989,0.713798057,1,0,1
Andrena scotica,1990,0.717679518,1,0,1
Andrena scotica,1991,0.736288193,1,0,1
Andrena scotica,1992,0.765266945,1,0,1
Andrena scotica,1993,0.736063942,1,0,1
Andrena scotica,1994,0.734531265,1,0,1
Andrena scotica,1995,0.727119035,1,0,1
Andrena scotica,1996,0.706086242,1,0,1
Andrena scotica,1997,0.689189497,1,0,1
Andrena scotica,1998,0.662420588,1,0,1
Andrena scotica,1999,0.603269682,1,0,1
Andrena scotica,2000,0.59345664,1,0,1
Andrena scotica,2001,0.522093851,1,0,1
Andrena scotica,2002,0.475197773,1,0,1
Andrena scotica,2003,0.455118458,1,0,1
Andrena scotica,2004,0.547696646,1,0,1
Andrena scotica,2005,0.601216507,1,0,1
Andrena scotica,2006,0.605983813,1,0,1
Andrena scotica,2007,0.545152828,1,0,1
Andrena scotica,2008,0.59972709,1,0,1
Andrena scotica,2009,0.539186465,1,0,1
Andrena scotica,2010,0.509894419,1,0,1
Andrena scotica,2011,0.538254348,1,0,1
Andrena scotica,2012,0.512096065,1,0,1
Andrena scotica,2013,0.494051951,1,0,1
Andrena scotica,2014,0.490636851,1,0,1
Andrena scotica,2015,0.601202573,1,0,1
Andrena subopaca,1985,0.439045546,0,0,1
Andrena subopaca,1986,0.438706835,0,0,1
Andrena subopaca,1987,0.441041545,0,0,1
Andrena subopaca,1988,0.448397493,0,0,1
Andrena subopaca,1989,0.43458506,0,0,1
Andrena subopaca,1990,0.419480794,0,0,1
Andrena subopaca,1991,0.437662087,0,0,1
Andrena subopaca,1992,0.458862442,0,0,1
Andrena subopaca,1993,0.459598632,0,0,1
Andrena subopaca,1994,0.467200978,0,0,1
Andrena subopaca,1995,0.459956998,0,0,1
Andrena subopaca,1996,0.429351833,0,0,1
Andrena subopaca,1997,0.406813164,0,0,1
Andrena subopaca,1998,0.372831462,0,0,1
Andrena subopaca,1999,0.392578382,0,0,1
Andrena subopaca,2000,0.411209808,0,0,1
Andrena subopaca,2001,0.368495844,0,0,1
Andrena subopaca,2002,0.351461697,0,0,1
Andrena subopaca,2003,0.322465484,0,0,1
Andrena subopaca,2004,0.317397186,0,0,1
Andrena subopaca,2005,0.333484661,0,0,1
Andrena subopaca,2006,0.323375794,0,0,1
Andrena subopaca,2007,0.30373984,0,0,1
Andrena subopaca,2008,0.3736061,0,0,1
Andrena subopaca,2009,0.365424182,0,0,1
Andrena subopaca,2010,0.322803111,0,0,1
Andrena subopaca,2011,0.259783519,0,0,1
Andrena subopaca,2012,0.228086678,0,0,1
Andrena subopaca,2013,0.24923413,0,0,1
Andrena subopaca,2014,0.252749566,0,0,1
Andrena subopaca,2015,0.262829994,0,0,1
Anthophora plumipes,1985,0.091125332,0,0,1
Anthophora plumipes,1986,0.081093975,0,0,1
Anthophora plumipes,1987,0.071349443,0,0,1
Anthophora plumipes,1988,0.082071562,0,0,1
Anthophora plumipes,1989,0.093693583,0,0,1
Anthophora plumipes,1990,0.109335321,0,0,1
Anthophora plumipes,1991,0.12980058,0,0,1
Anthophora plumipes,1992,0.121687562,0,0,1
Anthophora plumipes,1993,0.140017765,0,0,1
Anthophora plumipes,1994,0.181138118,0,0,1
Anthophora plumipes,1995,0.130165231,0,0,1
Anthophora plumipes,1996,0.137960608,0,0,1
Anthophora plumipes,1997,0.170621283,0,0,1
Anthophora plumipes,1998,0.133595076,0,0,1
Anthophora plumipes,1999,0.152300287,0,0,1
